question,answer_agent,answer_orig,tool_calls,cost,document
Can the homework content still change after it’s posted on the platform?,"Yes — until the homework is officially ready, its content can still change.

The homework is considered ready only when both are true:
- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

If it’s still in draft or not yet open, working on it in advance is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework content change after posted platform""}'}]",0.00219075,96286b4be4
When is the next time this course will run?,The next offering of this course is **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""When is the next time this course will run?""}'}]",0.001440,bd31146b0e
Do we know the date for the next course offering?,Yes — the next course offering is **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next course offering date""}'}]",0.001626,bd31146b0e
Is there a planned start for the course again?,"The next planned offering is **Summer 2027**.

If you mean starting the course on your own, you can also **start whenever you want** using the course materials online.",Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""planned start course again start date when will course start again""}'}]",0.001884,bd31146b0e
When should I expect this course to be available next?,The course is expected to be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""course available next when should I expect this course to be available next""}'}]",0.0017775,bd31146b0e
What’s the next session of the course scheduled for?,"I couldn’t find a FAQ entry that directly states the next session date/time.

From the course FAQ, the closest relevant info is:
- You can start whenever you want.
- The deadlines and schedule are listed in the course management platform: https://courses.datatalks.club/llm-zoomcamp-2026/

If you want, I can help you look for the course schedule details in the FAQ or point you to the right course page.",Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next session of the course scheduled for""}'}]",0.0020535,bd31146b0e
Where can I find the course lectures or videos?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:

- https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders in the repo — each lesson page has the relevant **videos linked at the top**.  
If you’re unsure, **follow the GitHub repo first**, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""course lectures videos where can I find lectures videos""}'}]",0.00188925,31456f4b5f
Is there a main place to start for the LLM Zoomcamp materials?,"Yes — the main places to start are:

- the **LLM Zoomcamp docs**
- the **general Zoomcamp logistics docs**
- the **LLM Zoomcamp GitHub repository**

A typical workflow is to:
1. watch the lesson videos,
2. work through the notebooks/code,
3. read the homework instructions on GitHub,
4. submit on the course platform before the deadline.

Useful links:
- Docs: https://datatalks.club/docs/courses/llm-zoomcamp/
- Logistics: https://datatalks.club/docs/courses/zoomcamp-logistics/
- GitHub repo: https://github.com/DataTalksClub/llm-zoomcamp

If you want, I can also point you to the best starting place for the current module specifically.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""main place to start LLM Zoomcamp materials""}'}]",0.0022485,31456f4b5f
"Do I need to use the YouTube playlist, or is there a better source for the lessons?","You should use the **LLM Zoomcamp GitHub repository as the main entry point** for the lessons.

The FAQ says each lesson page in the repo has the relevant videos linked at the top, and **when in doubt, follow the GitHub repo first**, because it’s easier to keep updated than the YouTube playlist.

So:
- **Primary source:** GitHub repo
- **Video links:** available from each lesson page
- **YouTube playlist:** not the preferred source if you want the most up-to-date materials

If you want, I can also point you to the exact repo structure for the lessons.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""YouTube playlist better source lessons use playlist source for lessons""}'}]",0.0025710,31456f4b5f
How do I get to the videos for each lesson in this course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **videos linked at the top**. If you’re unsure, follow the GitHub repo first, since it’s kept updated more reliably than the YouTube playlist.

","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""videos for each lesson course how do I get to the videos for each lesson""}'}]",0.0020055,31456f4b5f
What should I check first if I want the latest links to the lecture videos?,"Check the **LLM Zoomcamp GitHub repository first** — it’s the main entry point and is easier to keep updated than the YouTube playlist.

Each lesson page in the repo has the relevant video links at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""latest links lecture videos check first""}'}]",0.0016305,31456f4b5f
