question,document
"In the offline rag evaluation notebook, how can I see the entire Explanation text from the judge LLM?",641aedbbf5
What Pandas setting do I need to change if a column is showing only part of the text with ... ?,641aedbbf5
"Why does Pandas cut off long strings in DataFrame columns, and how do I turn that off?",641aedbbf5
Is there a way to display full column values in Pandas instead of the default short preview?,641aedbbf5
How can I normalize each vector stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to turn every vector in a Pandas Series into a unit vector?,5039707c1a
Is there a simple Pandas apply trick for normalizing vectors in one column?,5039707c1a
How do I use NumPy to normalize vectors before saving them into a new DataFrame column?,5039707c1a
What’s the standard way to divide a vector by its norm for all rows in a Pandas column?,5039707c1a
How do I get the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
What’s the Pandas way to calculate a 0.75 quantile from a Series?,b4c8ac5a0c
How can I find a percentile value for one column in a DataFrame with Pandas?,b4c8ac5a0c
Is there a built-in method in Pandas to compute quantiles on a column?,b4c8ac5a0c
How do I use `quantile()` to get the 75% percentile in Pandas?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the ones still running?",66ccbb7da0
What command removes all Docker images at once?,66ccbb7da0
How can I clear out every Docker volume using the command line?,66ccbb7da0
"Is there a quick way to wipe all containers, images, and volumes in Docker?",66ccbb7da0
What terminal commands should I run to clean up all Docker stuff on my machine?,66ccbb7da0
"How can I make sure a user can only give feedback once per submitted prompt, like only one +1 or -1?",2e729f1271
Why does `st.session.submitted` keep getting set back to `True` after I press a feedback button in Streamlit?,2e729f1271
"In Streamlit, how do I stop the feedback buttons from staying enabled after the ask button submission?",2e729f1271
What’s the fix for session state being reassigned when I’m trying to track whether feedback was already given?,2e729f1271
Is there a known Streamlit Discuss solution for `st.session.submitted` changing unexpectedly after one feedback click?,2e729f1271
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` only when I run my app with docker-compose, even though it works normally?",e8df9f0d12
What am I missing in my Docker setup if a Streamlit app starts outside Docker but fails with that OCI runtime / shim task error in compose?,e8df9f0d12
Do I need a Dockerfile or some extra compose config for Streamlit to run inside docker-compose without the `$PATH` error?,e8df9f0d12
How can I fix the `streamlit` command not found issue in docker-compose when the container won't start?,e8df9f0d12
"After adding Streamlit to docker-compose, what command should I use to rebuild the container and make it run properly?",e8df9f0d12
"Can the capstone be done as a group, or does everyone need to submit their own project?",0fab61eca2
"If two students want to work on one bigger idea, is that allowed for the capstone?",0fab61eca2
"Can we share the same system for the project, or does each person need something separate?",0fab61eca2
What does it mean for a capstone submission to stand on its own?,0fab61eca2
"If a project is split across people, how independent do the parts need to be to count?",0fab61eca2
"Do I need to turn in two capstone projects, or is one enough?",d5fc98925d
What do attempt 1 and attempt 2 actually mean for the capstone submission?,d5fc98925d
"If my first project submission gets rejected, can I fix it and submit again later?",d5fc98925d
"Can I submit two projects just to get more practice, and if so do they need to be different?",d5fc98925d
What happens if I miss the attempt 1 deadline—can I still submit in attempt 2 and count it for certification?,d5fc98925d
"Is the competition accepted as the capstone project, or do I still need to do it on my own?",e892d44e42
Can I join the math-kaggle-llm-competition with a team and have that count for capstone credit?,e892d44e42
"If I team up for the competition, does that satisfy the capstone requirement, or is capstone always individual?",e892d44e42
I want to work with others in the competition — will that replace the capstone assignment?,e892d44e42
"Does taking part in the competition mean I’m done with the capstone, or is the capstone still a solo project?",e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who is going to review my capstone submission?,9a2e2d2008
Do I also need to grade other students' capstone projects?,9a2e2d2008
What happens if I don't review three classmates' projects?,9a2e2d2008
How is the final score for the capstone calculated?,9a2e2d2008
"When do we get the projects for peer review, and how are they assigned?",eae0fb50aa
"Will the review assignments come only after the deadline, or before that?",eae0fb50aa
How many projects will each participant be asked to grade in the capstone?,eae0fb50aa
Do we get a list or spreadsheet with the review tasks for grading other projects?,eae0fb50aa
"After I submit my capstone, what happens next with the assignment of projects to review?",eae0fb50aa
"I already turned in my capstone project, so why am I not able to review any projects yet?",a8a7fef016
"After submitting the project, when do I actually get assigned other projects to evaluate?",a8a7fef016
"Can I pick which capstone projects I want to review, or is the assignment automatic?",a8a7fef016
Why is the review page empty even though I’ve already submitted my project?,a8a7fef016
Is it normal that I can’t start reviewing before the project list gets released?,a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a page with some dataset ideas and tips for the project?,e76a70cde3
I’m stuck on choosing a project — where do I find suggestions and datasets?,e76a70cde3
Does the course have a GitHub page with project ideas and guidelines?,e76a70cde3
What’s the best place to get ideas for the capstone project and possible datasets?,e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone project ingestion part, or is a normal Python script enough?",d4f7c08ea1
Can I use just a Python script to ingest and index data and still get full points for the ingestion pipeline?,d4f7c08ea1
"If I build the capstone ingestion flow in a Jupyter notebook instead of a script, how many points is that worth?",d4f7c08ea1
"When does it make sense to use an orchestrator in the capstone project, and when is it overkill?",d4f7c08ea1
"Should I add an orchestration tool only to satisfy the rubric, or is it better to skip it unless the project really needs recurring ingestion?",d4f7c08ea1
How can I evaluate a recommender-style RAG when I don’t have clear ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create synthetic test queries for item retrieval evaluation in a RAG system?,9b0e2d6a47
"How do I score retrieval quality for ranking tasks — should I use hit rate, MRR, or NDCG?",9b0e2d6a47
"Can I use an LLM to judge the end-to-end quality of my RAG answers, and how would that work?",9b0e2d6a47
"For recommendation-style search where several results are acceptable, is NDCG a better metric than simple top-1 accuracy?",9b0e2d6a47
"Should I spend time finding the perfect chunking approach for my big PDFs, or is there a better way to start?",6f2a8b3d10
What’s a simple first chunking setup for a large corpus with long documents and lots of paragraphs?,6f2a8b3d10
Is it worth asking an LLM to split documents into sections before indexing them?,6f2a8b3d10
"Would adding short summaries to each chunk actually help retrieval, and how would I use them?",6f2a8b3d10
"For structured documents like legal or financial PDFs, should I use BM25 plus dense search instead of only embeddings?",6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
How should I let someone rebuild the search index from my repo without sharing secret credentials?,e5d8a2c761
"What should I put in a .env.example file, and where do I keep the real .env?",e5d8a2c761
Do I need to use a cheap model for the project so reviewers don't spend a lot of credits?,e5d8a2c761
Which dependency and version info should I pin so the project can be recreated reliably?,e5d8a2c761
"Can I do the homework and capstone in something like JavaScript, Go, or Rust instead of Python?",ea815eb858
"Is it actually okay to submit the project using a non-Python stack, or is Python required?",ea815eb858
"If I build the capstone in another language, what should I put in the README so the reviewer can run it?",ea815eb858
"Do you expect the homework and final project to be Python-based, or can I choose any language if I document it well?",ea815eb858
"What level of setup instructions do you want if I use a language other than Python, especially for Windows, macOS, and Linux?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a place with examples of previous LLM Zoomcamp project submissions?,930286278d
Can I browse old capstone repos from LLM Zoomcamp somewhere?,930286278d
Do you have links to the 2024 and 2025 LLM Zoomcamp projects?,930286278d
How can I check what kind of scope and quality the final project should have?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
Is there any need to announce my project topic in advance for the capstone?,897a350476
Can I just begin the project without asking permission or reserving the idea first?,897a350476
"If I’m not sure about my project idea, can I ask for feedback somewhere like Slack?",897a350476
"Is it okay if my capstone topic is similar to other students’ projects, as long as my work is original?",897a350476
Can I build my capstone as a Telegram bot or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use a CLI / Slack app / notebook too?",7318a90b14
Are there any rules about what kind of interface the end user has to use in the capstone?,7318a90b14
"If I choose a non-web interface for the project, will the course show me how to build it?",7318a90b14
"What matters more for the capstone: the interface I pick, or whether it passes the evaluation criteria?",7318a90b14
What’s a good tool to pull text out of PDFs for my RAG app?,d8b28c47a0
"If my PDFs are scanned images, what can I use for OCR before chunking them?",d8b28c47a0
"Should I use docling, PyMuPDF, or unstructured to extract document text?",d8b28c47a0
"Is there a recommended way in the course to convert PDFs into text for RAG, or can I choose any extractor?",d8b28c47a0
What OCR options do people use when a PDF has no text layer?,d8b28c47a0
Can I use the workshop content in my own capstone project?,d850a0e7ea
Is it okay to reuse the dlt workshop materials for other projects I’m working on?,d850a0e7ea
"Can I apply this workshop stuff to another Zoomcamp project, like the MLOps one?",d850a0e7ea
"Since dlt is open source, am I allowed to use it directly in my own work?",d850a0e7ea
Can I share or reuse the workshop material for projects after the course?,d850a0e7ea
How do I start a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize dlt with filesystem and duckdb?,6bceeebf04
I'm setting up a fresh dlt pipeline from cloud files — what do I do first?,6bceeebf04
How can I create a dlt project for a filesystem source using DuckDB?,6bceeebf04
Where do I begin if I want to load cloud data with dlt?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `notion_pages___homework`, but it still says the table doesn't exist. What am I missing?",0407213397
What causes the `Please first call db.create_table(...)` error in the dlt workshop when opening the homework table?,0407213397
"I renamed the table for the homework, but the pipeline still seems to use the old name. Where should I check?",0407213397
How can I fix the issue where `employee_handbook` keeps showing up instead of `homework` in my pipeline settings?,0407213397
I’m getting `FileNotFoundError: Table notion_pages___homework does not exist` when I run `main()`. What table name should I use in line 3?,e95bfafc0e
"How do I fix the error that says `Please first call db.create_table(notion_pages___homework, data)` in the dlt homework?",e95bfafc0e
"In the open-source data ingestion workshop, what should `db.open_table(...)` be set to for the Notion homework table?",e95bfafc0e
"Why does my code fail with `Table notion_pages___homework does not exist`, and what is the correct table to open?",e95bfafc0e
"For the Notion pages homework, which exact table should I open so `main()` stops throwing a missing table error?",e95bfafc0e
How can I see all the tables that are currently in the database?,e394e6f738
Is there a way to list the table names from the db object?,e394e6f738
What method should I call if I want to check which tables exist in the database?,e394e6f738
How do I get a list of every table in my database using dlt?,e394e6f738
Which function lets me inspect the database tables and see their names?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Are there any built-in dlt connectors for ClickHouse and StarRocks right now?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks out of the box?,cd19f122f3
Is connector support for ClickHouse or StarRocks available in dlt yet?,cd19f122f3
"If dlt doesn’t support ClickHouse or StarRocks, can the community add them?",cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls the Notion search API?,0dfba07ace
What should I check if the notebook says it doesn’t have secret access for Notion?,0dfba07ace
Could this Notion API error be caused by a bad or expired token?,0dfba07ace
How do I fix an authorization problem with api.notion.com/v1/search in the workshop notebook?,0dfba07ace
Do I need to verify the endpoint and permissions when Notion access fails in dlt?,0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb needs 2.32, and how do I force the newer one?",4b30b918bc
Is there a way to install requests straight from GitHub so I get v2.32.3 instead of the old package?,4b30b918bc
I’m hitting a 401 Client Error while setting this up — could that be because my key is wrong or not allowed yet?,4b30b918bc
What’s the exact pip command to install the right requests version for this workshop?,4b30b918bc
"Do I need to manually pin requests from the source zip to make lancedb work, and which URL should I use?",4b30b918bc
